pctile,inc3_mean,tax_mean,transfer_mean,pubpension_mean,hil_mean,hxit_mean,hxits_mean,hsscer_mean,taxrate_mean,countryyear
97,91514.7,40794.66,1395.267,1976.444,62382.31,25822.91,3502.733,14971.75,.4455215,fi04
98,101254.9,46401.64,1247.6,1478.29,69970.88,29608.63,3805.448,16793.01,.4580799,fi04
99,119667.3,55408.41,1558.552,950.5447,77387.41,36835.44,4258.201,18572.98,.4632148,fi04
100,246482.2,102791.3,2008.501,1260.167,98529.34,79144.21,5312.48,23647.04,.4610962,fi04
1,4690.133,455.4664,3240.851,203.4732,903.4819,238.6308,85.25877,216.8356,.1052849,fi07
2,8374.042,874.6204,5534.961,670.119,1484.204,518.4114,114.6264,356.209,.1039875,fi07
3,10106.53,1230.487,5445.795,1411.965,2486.492,633.7292,166.1159,596.7581,.1214635,fi07
4,10982.37,1477.547,6344.732,1562.51,2429.667,894.4265,194.1409,583.12,.1349481,fi07
5,12109.62,1553.413,6461.715,2469.028,2317.674,997.1711,197.6623,556.2417,.1281171,fi07
6,13140.09,1699.946,7163.752,2578.45,2344.703,1137.217,184.9047,562.7288,.1290997,fi07
7,14120.63,1998.817,6701.472,3221.975,3104.422,1253.756,225.6364,745.0613,.1416556,fi07
8,14927.81,2174.681,7990.272,2761.737,3259.696,1392.354,256.5117,782.3271,.1457075,fi07
9,15771.67,2482.045,8137.552,2336.58,4102.063,1497.55,326.2304,984.4951,.1571225,fi07
10,16592.33,3216.888,7329.526,1041.376,6401.151,1680.612,407.061,1536.276,.1934612,fi07
11,17430.3,3233.191,6220.595,3708.007,5894.285,1818.563,398.2204,1414.628,.1855963,fi07
12,18247.35,3768.946,6902.644,2585.789,7012.455,2085.957,449.8877,1682.989,.2066269,fi07
13,19038.02,4289.244,5701.285,2631.681,8516.833,2245.204,555.6781,2044.04,.2252235,fi07
14,19847.77,4627.308,5349.91,2123.922,9664.095,2307.925,629.0453,2319.383,.2331099,fi07
15,20595.7,4940.057,5750.5,2011.228,10233.08,2484.118,681.9714,2455.939,.2397509,fi07
16,21235.42,5676.048,4624.132,1119.072,12060.74,2781.471,777.9664,2894.577,.2671008,fi07
17,21962.46,5602.201,5287.98,2156.792,11426.83,2859.761,736.2729,2742.439,.2550286,fi07
18,22719.92,5685.789,5977.266,2648.479,11189.01,3000.426,717.19,2685.362,.2502303,fi07
19,23397.64,5704.705,6969.408,2235.582,11249.02,3004.941,769.6757,2699.764,.2438314,fi07
20,24018.95,6652.255,5744.721,1086.168,13462.11,3421.348,899.2832,3230.907,.2768872,fi07
